peris, apos, t_min_relative, r_relative, theta 
25.303649 99.350132 -3.133000 40.194493 29.614299 
26.535092 100.307179 -0.471000 69.926872 47.141647 
37.797044 103.846758 -3.212000 27.469810 28.397748 
22.121974 105.543641 -0.503000 73.551038 34.107364 
43.730960 92.787765 -1.378000 15.024379 33.337365 
19.253943 102.245706 -0.707000 35.364809 38.918425 
29.312326 108.189881 -3.382000 22.380545 10.575526 
23.623307 100.604440 -0.349000 89.001494 19.546564 
30.339533 98.687561 -1.239000 11.237917 25.768309 
19.978668 101.899380 -1.287000 35.966897 27.125509 
13.739007 103.295507 -0.743000 21.504062 45.618273 
26.495831 100.227191 -1.219000 6.560332 21.962167 
31.765814 95.123972 -0.335000 80.381420 37.769764 
16.130210 103.034208 -2.049000 58.121240 26.810469 
30.216701 96.899942 -0.287000 91.813854 28.669106 
20.494793 94.439872 -1.072000 14.723297 54.564305 
24.804326 111.031017 -3.019000 22.784582 22.346862 
18.683744 111.754042 -2.245000 61.890510 19.888950 
11.982196 99.827048 -0.791000 10.398801 23.484669 
25.641361 100.204282 -2.984000 44.204494 33.466998 
18.687153 104.816072 -2.119000 75.968320 14.325090 
24.627509 96.403328 -1.176000 6.505973 26.269435 
23.298220 93.121414 -2.444000 70.965645 26.087884 
15.995810 93.229865 -2.589000 38.029166 43.461211 
21.762281 103.500110 -2.734000 23.449836 41.421877 
27.923529 91.998047 -1.110000 29.799287 48.729470 
38.930836 97.583248 -1.375000 24.734440 34.580523 
24.160670 98.801599 -1.189000 19.449604 16.734479 
24.049130 103.462804 -3.239000 37.278340 27.021908 
19.752380 100.672891 -0.635000 43.118726 33.645531 
45.105290 102.377429 -3.640000 36.725099 19.190243 
33.049754 95.050443 -1.241000 18.338768 36.185100 
16.226007 97.688089 -1.154000 4.574613 15.014085 
23.357143 101.867268 -0.445000 74.292739 16.313914 
27.080977 98.751728 -1.214000 20.566907 45.983868 
28.294114 105.175283 -3.050000 39.957067 35.195431 
27.651744 100.073423 -2.612000 89.226734 26.279928 
25.805346 102.449904 -2.736000 23.388683 39.582430 
18.983858 102.558983 -0.437000 81.925458 25.699546 
27.716698 94.699283 -1.276000 16.743946 23.426229 
36.156808 99.946605 -3.251000 48.803684 34.515635 
19.776338 102.332251 -1.103000 9.430228 42.328533 
41.186494 105.234052 -1.481000 28.305713 39.412342 
24.082698 99.838068 -1.250000 10.756555 30.027248 
29.125542 109.220351 -1.385000 27.644923 23.665779 
38.141980 93.989444 -1.301000 19.245756 44.331901 
20.459944 101.437704 -1.203000 33.936659 44.873483 
17.717800 91.800544 -3.995000 14.788959 24.647681 
21.395545 97.234704 -1.105000 22.246110 45.914554 
24.014674 95.143023 -3.999000 65.835218 22.581799 
12.750532 102.662825 -2.626000 29.233014 49.735989 
12.059219 101.044310 -0.788000 7.584510 40.789800 
24.365946 101.459312 -1.209000 25.939327 35.044325 
29.477039 99.278651 -3.303000 56.570528 33.211518 
22.552879 101.268839 -0.475000 67.145273 26.253727 
26.124602 101.738274 -2.853000 40.731290 33.606927 
20.960840 103.723303 -2.858000 31.798948 31.299121 
30.171760 103.654989 -0.381000 84.484231 23.757875 
31.331409 106.803788 -3.217000 32.182394 33.402773 
53.975047 92.712166 -1.648000 36.588407 39.707341 
23.461865 96.887901 -3.999000 76.258150 44.966501 
21.744120 92.771837 -2.412000 18.344762 22.601676 
29.300077 98.945688 -1.358000 9.015680 17.025433 
18.872875 101.913861 -3.079000 31.995671 25.256872 
29.661804 105.587572 -2.957000 21.133770 37.140448 
21.985993 103.912689 -3.208000 20.315625 10.545365 
23.689364 96.926604 -0.369000 82.933371 38.579888 
16.813354 101.662803 -0.707000 33.782034 40.196879 
29.943404 98.248703 -0.297000 91.453472 31.760851 
37.990508 103.146631 -3.557000 28.394903 21.021729 
18.420254 91.494292 -2.314000 16.068186 43.719124 
28.995309 88.027699 -2.424000 14.619360 49.605718 
27.183180 95.439015 -1.163000 18.873244 36.554770 
31.255040 99.860518 -0.261000 97.141241 34.196719 
18.072612 103.027832 -0.763000 34.977025 39.057070 
31.753070 88.388227 -3.940000 26.585432 6.729459 
19.860307 112.516305 -2.935000 5.043843 16.041909 
34.369071 99.502539 -3.345000 71.317040 38.470334 
25.042610 91.549070 -2.394000 9.802039 30.208106 
25.945301 101.179147 -1.209000 3.959186 30.856433 
18.047423 92.731902 -1.072000 16.321322 35.659319 
27.014000 102.786140 -3.345000 38.430201 29.691059 
18.095409 102.157210 -1.167000 28.162622 29.134115 
31.655784 102.742544 -3.133000 18.297884 14.673089 
23.874737 105.768528 -2.815000 12.953118 42.164764 
31.311478 94.721284 -1.168000 12.927692 48.126223 
17.986717 106.973266 -0.767000 26.709965 46.834022 
21.646069 99.172691 -0.415000 77.304436 32.705082 
24.649517 97.730482 -1.242000 20.245360 25.308565 
34.853185 101.724607 -0.305000 93.909060 28.548174 
26.104786 103.311286 -2.842000 16.335408 25.691367 
22.531289 101.595450 -2.775000 45.558088 41.808332 
18.443134 88.524867 -2.292000 23.294258 34.877432 
18.024982 93.895429 -1.110000 13.445833 23.851248 
28.552893 98.663334 -1.248000 5.606301 29.773022 
18.319134 102.258864 -1.111000 22.742113 43.488486 
16.348078 112.951913 -2.887000 32.808957 46.464141 
15.422419 94.456521 -2.504000 45.065663 21.062884 
34.663701 101.826061 -3.363000 49.037696 33.647935 
23.818366 103.439844 -2.982000 42.034952 33.429610 
19.384597 105.761828 -3.205000 44.917909 34.956830 
19.210023 99.464914 -1.108000 5.813575 39.098580 
42.938256 103.147795 -0.281000 94.142037 22.295384 
27.094661 95.907319 -0.361000 81.923453 48.125377 
20.999759 105.437315 -3.173000 36.969666 24.707615 
21.991979 90.991087 -1.138000 8.914733 28.407857 
17.275436 101.137888 -2.942000 38.119245 28.541648 
17.150478 105.156178 -3.135000 39.224913 29.426126 
40.522312 100.415537 -3.391000 51.399632 30.610582 
25.643626 104.487803 -0.455000 76.113734 35.996462 
25.811682 106.872812 -0.469000 83.735754 13.446533 
19.848953 93.005884 -3.999000 39.224339 27.962216 
34.248874 101.435262 -0.317000 91.792404 23.491572 
22.935793 107.284354 -2.837000 14.963314 28.762744 
18.186743 107.772402 -2.915000 55.986225 36.770918 
31.849186 85.885624 -2.564000 23.406146 52.311045 
18.678350 95.119656 -1.042000 15.297031 57.092099 
21.272544 105.439410 -1.207000 29.411515 51.346280 
17.841864 104.457184 -1.221000 32.649655 29.138024 
18.456794 110.925542 -2.881000 34.373763 39.201138 
30.431598 101.911327 -0.399000 77.033268 21.642144 
47.902627 98.100369 -3.477000 42.030778 28.274569 
29.661158 101.454327 -0.285000 97.802946 18.780488 
24.991884 97.976051 -1.235000 33.046560 35.005251 
26.859056 99.160237 -3.251000 26.224658 21.001594 
37.787182 94.683812 -0.265000 89.851389 31.995750 
39.596810 95.016619 -1.404000 20.888575 37.725271 
29.050314 95.237477 -0.281000 89.751474 32.550809 
21.628037 101.778371 -0.349000 89.320718 21.906647 
16.966469 96.354582 -1.168000 7.283878 20.374843 
25.180988 102.493110 -3.235000 38.688498 33.859958 
23.430662 104.876460 -2.901000 39.383626 20.545015 
25.686220 105.716342 -0.357000 94.826011 34.962199 
30.395232 96.648157 -1.198000 11.569243 30.763282 
38.807296 100.944148 -3.199000 27.995666 38.047357 
27.302622 92.826151 -2.867000 39.588447 34.585198 
30.101176 102.359614 -0.421000 76.889134 34.457760 
21.682761 90.149790 -2.789000 50.396912 38.146818 
31.743885 103.616686 -3.282000 34.476791 21.244561 
25.923018 85.461005 -2.383000 20.182663 40.487523 
18.838586 93.440431 -1.112000 9.979361 26.944248 
10.076123 100.119635 -3.999000 48.414445 38.483878 
29.583336 100.554144 -1.214000 8.690666 41.468564 
31.340480 96.452761 -1.314000 24.019520 17.574588 
29.197948 102.611116 -1.303000 26.198975 35.324304 
28.932046 87.792073 -2.540000 23.994945 60.028278 
18.990236 104.567803 -0.529000 63.052251 31.772539 
27.026787 107.680194 -3.344000 30.382608 15.237302 
25.701130 102.065573 -1.249000 24.325126 30.661699 
19.861153 94.463229 -1.146000 15.377681 29.097671 
26.182873 106.287358 -3.261000 73.535361 23.797097 
25.143035 103.361680 -2.855000 35.707093 31.597921 
30.333454 99.824913 -0.319000 88.271318 15.537124 
24.175178 97.410550 -3.101000 28.622923 23.817760 
19.095132 108.750146 -0.783000 39.943256 32.436764 
16.939533 102.615634 -0.809000 23.931167 27.831393 
21.710201 96.968534 -1.246000 9.569364 25.324712 
31.227813 93.518604 -1.248000 24.280281 37.818999 
17.719836 98.968876 -3.999000 74.463517 16.100635 
28.429735 99.468151 -1.313000 29.967126 24.027848 
27.607116 103.493097 -0.389000 87.060376 39.446786 
35.584198 97.481788 -1.277000 16.452882 49.409204 
24.945331 96.857901 -1.110000 7.055523 47.590522 
35.337044 100.859376 -0.387000 80.467005 37.294826 
27.808435 108.155682 -3.011000 35.303288 32.424520 
25.618996 98.289184 -1.215000 28.283825 40.588931 
30.702307 109.542982 -3.617000 52.374918 36.780282 
26.471613 98.724867 -1.221000 18.875842 25.693943 
20.600704 92.712389 -1.062000 25.652586 40.565135 
24.820710 102.063213 -1.197000 11.334794 24.493034 
29.223806 96.180488 -1.303000 41.808896 40.113475 
19.163199 97.524457 -2.717000 16.375010 51.007818 
19.250941 98.138238 -0.385000 80.692703 47.038001 
16.737682 91.865820 -1.058000 9.401168 31.202375 
18.057100 96.897435 -1.067000 22.988342 39.464545 
28.330713 98.348029 -3.315000 42.421026 38.279386 
24.556802 104.685007 -2.885000 37.427844 29.599621 
15.337172 105.757565 -2.101000 57.304020 29.493037 
32.937570 106.070423 -3.515000 34.390594 29.696583 
31.657303 93.100876 -2.456000 89.790787 23.865398 
20.086364 99.687914 -0.411000 76.539468 13.990820 
35.347284 99.005981 -0.333000 83.868290 34.884354 
27.258013 92.794371 -2.372000 86.443108 23.119526 
21.070996 108.240608 -2.885000 36.813218 33.841223 
27.905513 93.383899 -1.101000 10.894797 52.677062 
23.215998 103.855355 -2.793000 35.466659 55.493534 
22.870958 95.882882 -1.147000 4.603118 16.942480 
24.118501 105.093560 -3.337000 40.194802 31.752038 
22.490094 96.331740 -3.999000 67.118423 40.903818 
31.459573 100.996635 -0.405000 83.173109 21.836435 
21.559710 94.442735 -1.064000 3.819629 39.408602 
34.550940 97.481354 -1.363000 35.524155 35.292024 
27.851836 92.884274 -2.490000 4.254266 48.617790 
23.190416 90.079284 -2.348000 13.607418 33.088937 
20.936899 107.329222 -3.271000 35.839020 28.363876 
19.580233 103.502464 -3.161000 42.345365 31.581916 
29.822126 104.319224 -3.122000 33.039059 23.285414 
23.241980 99.731618 -0.449000 70.149369 33.357715 
23.681110 93.989109 -1.170000 22.910901 31.851477 
25.954296 99.233252 -1.187000 22.372762 41.081282 
30.542892 95.963137 -0.323000 84.766292 16.095632 
24.688914 97.273963 -1.240000 20.053226 17.710586 
32.517969 100.827542 -3.012000 36.518785 31.857484 
24.727861 101.414278 -0.403000 77.754385 14.333216 
15.329180 100.131474 -0.799000 16.116135 34.379252 
17.352510 93.858045 -2.841000 52.660302 20.404448 
26.711895 96.821138 -1.223000 31.951376 42.186557 
20.520779 104.527045 -2.902000 20.779462 19.749176 
23.080185 102.810494 -1.223000 24.277800 24.990038 
30.730187 102.704382 -0.391000 79.613823 28.727708 
25.590999 102.546173 -1.237000 26.606161 40.606406 
27.715144 104.241308 -3.195000 72.174825 29.279396 
25.660123 96.825671 -2.549000 11.167952 44.592542 
16.225889 103.960293 -0.721000 31.516739 44.617271 
17.764095 102.396100 -1.127000 21.259273 22.989693 
13.725968 98.723870 -1.100000 16.963535 13.896916 
29.871826 100.896304 -1.297000 29.646606 39.530334 
30.039103 108.012049 -0.379000 93.268062 24.396310 
32.733716 101.471209 -1.458000 16.551846 11.969497 
14.354828 97.766789 -3.999000 53.389991 52.232062 
16.951403 99.501968 -1.100000 4.077706 39.674359 
38.828941 91.445813 -1.344000 32.719244 35.144793 
21.875235 109.418129 -3.093000 60.220365 32.070501 
18.099212 95.731008 -1.188000 8.032738 16.019139 
20.250915 99.588536 -1.083000 12.124700 15.664116 
24.974513 107.586286 -0.531000 79.966201 39.128520 
35.062558 104.297910 -1.417000 36.877925 40.471544 
30.076416 102.815544 -2.896000 19.509324 26.902937 
40.560079 96.792825 -1.486000 22.450177 28.464513 
33.798464 97.728554 -3.155000 75.955934 42.893031 
32.627054 102.684870 -0.323000 94.041494 33.933588 
24.283940 98.891453 -0.375000 81.890242 22.372483 
34.312426 90.007243 -1.234000 21.148519 36.249596 
30.651366 96.585485 -0.293000 91.171824 29.624597 
31.848908 92.336796 -1.214000 22.770248 46.404836 
31.379670 100.780087 -3.286000 23.666073 12.981689 
24.093968 106.912432 -1.255000 22.347318 27.896711 
37.249905 104.161511 -1.435000 29.862609 31.792695 
15.969921 102.555378 -0.703000 30.613037 40.333577 
29.466686 102.913350 -3.124000 37.527201 27.551012 
18.960912 96.006168 -2.388000 9.964766 37.274728 
23.937726 98.219328 -0.431000 70.558537 30.650467 
21.683510 91.237615 -2.369000 14.156122 25.456655 
26.474029 96.122750 -1.146000 29.147979 54.924638 
30.719389 103.558140 -3.049000 12.884374 26.459616 
22.676756 107.263288 -2.849000 18.986407 32.185641 
40.485588 104.026930 -3.382000 33.563769 25.850654 
17.517625 97.665800 -1.047000 2.832684 33.641606 
28.011703 98.229355 -0.389000 78.526649 31.148097 
29.776832 96.997161 -1.203000 16.147430 37.231503 
21.449214 100.767259 -0.455000 74.977603 48.075116 
28.713359 98.947359 -1.243000 16.729757 21.323298 
39.872189 97.438213 -0.295000 89.038368 30.388798 
32.810008 105.981039 -3.377000 47.034729 12.367247 
23.935331 98.041940 -3.089000 30.129130 21.911509 
22.934381 99.121884 -0.633000 48.807889 46.039455 
22.680106 98.835422 -0.401000 78.952334 32.086835 
23.634035 101.064528 -1.275000 29.307089 23.858097 
25.002044 89.801783 -1.102000 17.177868 38.073930 
24.505333 100.453631 -0.441000 75.003145 41.613174 
28.441771 97.075405 -1.326000 7.820223 18.330045 
24.729033 95.060934 -0.321000 85.431045 32.143653 
35.754700 104.317227 -3.398000 48.177664 38.990987 
35.075735 104.991323 -3.543000 28.600499 23.167845 
26.325971 97.983007 -1.335000 48.058402 44.569572 
22.519413 103.365919 -2.892000 39.602168 37.089616 
21.332715 108.187888 -2.850000 26.558236 48.773146 
24.232353 89.612095 -1.056000 13.763669 36.556793 
32.963645 105.303468 -3.037000 25.258700 28.128560 
