peris, apos, t_min_relative, r_relative, theta 
24.532847 103.001542 -0.047000 48.115537 75.130761 
26.488950 103.074850 -0.048000 48.099717 59.115773 
33.930233 100.684542 -0.047000 48.113365 58.306703 
19.826040 96.834026 -0.047000 48.113569 75.034760 
31.219714 102.162009 -0.048000 48.108994 42.209846 
34.980093 100.939002 -0.047000 48.112890 36.710844 
14.888622 103.719087 -0.047000 48.115502 42.314728 
26.016916 104.809568 -0.047000 48.124325 50.500676 
35.456015 90.696183 -0.048000 48.111657 74.484020 
23.167781 95.686399 -0.048000 48.093351 47.358198 
24.975148 103.320015 -0.047000 48.122445 44.425570 
40.057469 101.418455 -0.048000 48.110824 57.191945 
25.732709 111.884344 -0.048000 48.108209 41.880047 
27.820925 94.891680 -0.048000 48.105340 57.512233 
23.223597 103.818153 -0.047000 48.121419 61.001650 
26.014596 99.380010 -0.047000 48.117540 70.486076 
26.186838 104.104926 -0.047000 48.116191 49.774197 
22.309380 95.056186 -0.046000 48.126575 43.570948 
31.714463 103.037012 -0.048000 48.110198 65.875125 
26.292553 94.565657 -0.048000 48.103357 85.385597 
27.746482 107.822623 -0.047000 48.113613 25.335879 
31.837642 93.477687 -0.047000 48.122156 51.503202 
24.651203 104.575373 -0.048000 48.111627 60.212972 
25.499679 100.847734 -0.047000 48.121852 32.171716 
18.793030 99.594654 -0.047000 48.115440 54.535567 
21.395132 102.673786 -0.048000 48.108802 70.306214 
21.659659 97.647088 -0.048000 48.106720 62.444169 
35.837158 109.055963 -0.048000 48.102125 35.928995 
26.438734 95.338083 -0.048000 48.104308 64.053685 
30.543971 101.824196 -0.048000 48.110545 32.076562 
39.820206 108.033712 -0.047000 48.119490 21.108060 
20.557436 86.580750 -0.048000 48.085724 63.071299 
34.525352 101.866212 -0.047000 48.119705 45.072270 
19.262200 103.250822 -0.047000 48.115527 72.956086 
24.995827 102.943330 -0.048000 48.106659 75.577102 
24.074546 98.774333 -0.047000 48.116814 62.968305 
22.014306 93.286922 -0.048000 48.101213 60.623995 
26.389291 105.232280 -0.047000 48.114276 39.740449 
19.035223 100.003480 -0.047000 48.121837 35.804192 
18.955926 95.974799 -0.048000 48.108709 72.275977 
23.028673 106.940646 -0.047000 48.115016 49.764424 
26.603050 90.131859 -0.048000 48.096448 70.649353 
38.581614 108.124373 -0.048000 48.106076 34.062922 
23.119353 98.447908 -0.047000 48.119361 39.571573 
25.884803 97.030155 -0.048000 48.097610 69.200655 
20.633562 93.497569 -0.048000 48.099400 55.135685 
18.720371 98.589411 -0.048000 48.107389 51.250421 
28.446523 104.062306 -0.048000 48.108074 63.968288 
36.398947 93.439197 -0.048000 48.108669 55.060184 
34.101859 90.950623 -0.048000 48.079591 54.853173 
26.089853 99.472930 -0.047000 48.122424 44.437844 
26.434038 104.267497 -0.047000 48.122649 71.163555 
22.782810 100.912119 -0.048000 48.108260 54.144029 
27.336792 96.782302 -0.048000 48.098866 57.878889 
26.562025 103.882691 -0.047000 48.123353 21.790384 
25.089819 105.780049 -0.048000 48.108139 49.629307 
18.059944 104.411626 -0.047000 48.116818 71.972674 
19.622162 95.696354 -0.048000 48.096831 18.715815 
26.407427 101.058786 -0.047000 48.116264 71.564050 
21.588438 89.154737 -0.048000 48.097728 58.329004 
18.211835 105.320820 -0.047000 48.116597 8.297424 
28.959179 99.515167 -0.047000 48.121189 50.803684 
18.089599 106.469822 -0.048000 48.106304 30.198819 
18.954465 109.126663 -0.047000 48.117044 76.943184 
26.033286 97.726340 -0.048000 48.111144 61.008096 
30.051970 103.574706 -0.047000 48.113148 48.022967 
34.091901 92.421520 -0.048000 48.102322 31.321866 
23.206195 110.283284 -0.047000 48.116383 48.327946 
20.328093 94.233347 -0.048000 48.091564 70.551824 
23.117003 95.297488 -0.047000 48.119399 55.279323 
23.924212 94.509561 -0.047000 48.117625 64.445484 
27.774828 93.801954 -0.048000 48.102357 70.039972 
16.503734 98.058538 -0.048000 48.103271 50.907375 
23.541998 103.069200 -0.047000 48.120933 59.438157 
36.621346 94.495952 -0.048000 48.100866 65.847863 
29.719429 103.446543 -0.047000 48.118006 57.985403 
17.765816 97.182672 -0.048000 48.097891 75.201407 
24.008909 93.550375 -0.048000 48.094488 49.880350 
17.949363 94.638267 -0.046000 48.126758 47.238780 
23.636948 103.521746 -0.048000 48.100144 66.073224 
20.454314 105.508681 -0.047000 48.115143 64.781557 
30.440728 104.349224 -0.048000 48.108198 50.286224 
27.635289 100.111091 -0.048000 48.109791 36.161782 
19.498230 99.192076 -0.048000 48.104546 52.296772 
13.191014 104.148979 -0.047000 48.115086 78.043830 
17.134588 95.464867 -0.048000 48.093912 48.217578 
15.847929 110.457251 -0.047000 48.115208 80.278397 
28.037368 101.759290 -0.047000 48.112334 57.354523 
29.897970 96.457649 -0.048000 48.110718 53.974371 
17.377479 98.167022 -0.048000 48.106282 38.422086 
15.351859 109.432996 -0.047000 48.115373 63.315026 
16.334702 100.983228 -0.049000 48.076130 83.147904 
45.922515 102.425654 -0.047000 48.117798 51.269998 
21.388352 98.839693 -0.048000 48.108086 61.598936 
17.973252 104.582341 -0.047000 48.115325 70.946365 
24.383275 97.907345 -0.047000 48.120433 49.175794 
18.792500 103.978908 -0.047000 48.116218 57.059318 
24.338362 107.084300 -0.047000 48.119702 62.831376 
21.446955 93.173099 -0.048000 48.084753 54.882061 
30.773562 103.632598 -0.048000 48.110106 64.723305 
33.010706 101.344616 -0.047000 48.115436 40.609115 
23.148765 103.936861 -0.047000 48.117680 71.409509 
27.526206 97.664307 -0.048000 48.099356 60.297087 
16.789398 103.861268 -0.047000 48.111993 20.717865 
26.498133 105.506762 -0.048000 48.110349 15.745150 
28.623403 96.522774 -0.046000 48.127845 21.401556 
25.175141 100.214282 -0.048000 48.106120 42.673124 
24.953267 99.153660 -0.048000 48.111589 44.745103 
30.515649 97.242993 -0.048000 48.106100 42.775663 
35.697202 101.695945 -0.047000 48.120512 37.029814 
39.710480 100.121735 -0.047000 48.114911 65.923234 
34.707202 98.075251 -0.047000 48.119225 59.322933 
26.876392 108.508115 -0.047000 48.116254 51.501410 
10.038022 97.548277 -0.048000 48.095783 54.281698 
27.261286 100.093283 -0.047000 48.115373 63.565369 
24.089929 99.510267 -0.048000 48.104601 57.378351 
38.387890 92.403729 -0.048000 48.098752 35.606535 
30.722677 102.765157 -0.048000 48.105209 60.762290 
21.178674 89.061266 -0.048000 48.103496 63.790207 
29.923738 98.762956 -0.048000 48.103729 57.974261 
30.331850 97.126124 -0.047000 48.115324 43.461694 
28.471014 99.019304 -0.046000 48.127932 18.702128 
17.281580 89.131761 -0.047000 48.120020 73.323708 
14.680797 95.684769 -0.048000 48.104403 54.026147 
15.486901 108.038267 -0.047000 48.116749 8.190031 
33.374176 108.434055 -0.047000 48.114088 45.987630 
35.890763 101.271767 -0.047000 48.120576 38.297702 
27.945188 95.229553 -0.047000 48.112484 25.625350 
20.482432 100.086328 -0.047000 48.120702 76.496608 
24.388585 107.479787 -0.048000 48.107908 66.625426 
21.737533 95.206831 -0.048000 48.111801 13.588573 
18.609965 96.083106 -0.047000 48.119985 64.511830 
25.223628 101.091232 -0.048000 48.109146 53.685935 
23.422385 103.174339 -0.047000 48.113721 56.773865 
22.817304 107.206976 -0.048000 48.108769 40.741299 
24.727624 98.037839 -0.047000 48.116275 29.579766 
39.672319 114.562825 -0.047000 48.118784 35.097098 
28.544092 105.862641 -0.047000 48.112952 60.802116 
13.101918 99.912480 -0.048000 48.101269 87.389699 
28.808727 99.868253 -0.047000 48.119269 35.843259 
14.104464 88.187659 -0.048000 48.093226 68.325307 
23.950766 93.034432 -0.047000 48.117905 53.941005 
25.865469 103.520875 -0.048000 48.107863 63.560993 
26.827907 104.724988 -0.047000 48.122211 63.963872 
18.653371 95.797515 -0.046000 48.125927 45.697355 
27.050610 102.919947 -0.047000 48.120681 42.836606 
34.483867 103.414834 -0.047000 48.117475 34.842100 
24.488474 99.490659 -0.047000 48.112097 48.658471 
16.074466 98.097682 -0.048000 48.109436 79.712465 
18.818937 102.891238 -0.048000 48.110749 39.855511 
12.792915 96.288140 -0.046000 48.125673 38.958049 
30.190223 102.852830 -0.047000 48.117958 37.088167 
25.368552 104.675783 -0.047000 48.113120 51.734296 
19.912952 103.930414 -0.047000 48.119896 53.314813 
13.299018 98.482539 -0.048000 48.104482 76.018905 
22.110945 102.921176 -0.047000 48.116598 34.817774 
26.223580 92.431796 -0.048000 48.101902 19.405718 
17.078942 102.147117 -0.047000 48.114054 65.415932 
19.120870 96.583636 -0.048000 48.093210 60.864634 
15.080744 102.913314 -0.048000 48.099388 87.027285 
23.644778 94.708777 -0.047000 48.115121 63.633500 
31.739696 95.329248 -0.047000 48.117793 50.787586 
24.469245 89.230041 -0.048000 48.090002 74.565070 
30.947627 103.404474 -0.048000 48.111467 36.947037 
29.040812 94.117125 -0.048000 48.098741 79.298682 
17.188556 100.438080 -0.047000 48.113057 38.900343 
16.091804 95.944033 -0.049000 48.067490 78.246577 
34.170428 101.675398 -0.048000 48.109522 40.257460 
25.489625 96.900493 -0.048000 48.109878 63.751007 
21.549771 100.158994 -0.048000 48.107589 75.362595 
26.319092 96.601232 -0.048000 48.110486 64.440853 
28.099219 103.914288 -0.047000 48.118907 67.336841 
33.492041 91.430918 -0.048000 48.100041 46.849173 
26.745730 105.429483 -0.047000 48.117668 66.161342 
14.183264 107.130568 -0.048000 48.112176 77.504778 
23.432480 102.266820 -0.048000 48.104595 78.130680 
22.279815 92.079557 -0.048000 48.096338 62.794303 
16.295440 100.347714 -0.048000 48.093560 68.044791 
30.334210 102.432101 -0.047000 48.114584 19.257261 
25.163869 97.858502 -0.048000 48.102045 59.002936 
24.317542 90.523485 -0.048000 48.090713 40.923558 
21.770180 92.419624 -0.048000 48.092983 93.524165 
18.100288 108.154914 -0.048000 48.110343 82.624363 
28.354591 99.737174 -0.048000 48.109373 36.625455 
25.041159 100.356001 -0.048000 48.111108 36.523223 
35.204889 94.109784 -0.047000 48.123214 54.569843 
16.014751 101.172390 -0.048000 48.105921 64.712032 
39.432083 102.422752 -0.047000 48.111179 34.942051 
23.294077 97.558558 -0.048000 48.084384 16.993719 
44.171274 96.654841 -0.048000 48.101490 41.982260 
31.759493 95.812423 -0.048000 48.102647 40.294533 
19.475406 90.276628 -0.048000 48.093736 61.696702 
29.645738 99.456133 -0.047000 48.112234 60.036285 
25.260772 100.146143 -0.047000 48.119320 43.564090 
17.602147 103.540055 -0.047000 48.112838 34.670510 
23.290237 99.160149 -0.046000 48.125253 21.765434 
30.781003 91.186221 -0.048000 48.105354 51.215737 
30.829180 101.178201 -0.047000 48.121931 41.395195 
24.858580 103.028379 -0.048000 48.107440 46.356578 
23.802922 103.729222 -0.048000 48.111193 66.190796 
24.181958 108.377842 -0.047000 48.115424 38.212181 
12.653960 100.772343 -0.048000 48.101558 66.880462 
22.908315 104.225714 -0.047000 48.114632 49.831222 
28.491004 95.133553 -0.048000 48.104591 58.816239 
15.134009 94.565424 -0.048000 48.089841 34.167162 
26.255448 98.914920 -0.048000 48.107088 46.440768 
24.410880 105.669310 -0.047000 48.114429 17.687316 
15.683853 104.669707 -0.048000 48.110851 59.722068 
18.827041 104.741352 -0.047000 48.111904 50.990170 
37.031509 96.771644 -0.048000 48.110134 57.987327 
26.136367 109.996984 -0.047000 48.118411 21.660749 
19.971594 93.995011 -0.048000 48.102329 60.324508 
23.975301 97.509642 -0.048000 48.099913 48.398130 
21.366417 99.449911 -0.048000 48.104693 85.048252 
22.080467 98.688681 -0.047000 48.122777 67.139763 
26.410522 102.424156 -0.047000 48.114724 40.832266 
22.703493 94.169176 -0.048000 48.102354 41.878545 
21.487968 104.543487 -0.047000 48.114175 69.458047 
29.485033 97.266527 -0.048000 48.111430 54.834008 
21.727441 99.744572 -0.047000 48.119978 27.087619 
21.780300 99.404220 -0.047000 48.123326 53.662788 
